model_name,prompt,generated_answer,expected_intention,latency_ms,tokens_per_second,peak_ram_mb
gemma-2-2b-it-q4_0.gguf,"Ilumine a varanda, por favor",LIGAR_LUZ,LIGAR_LUZ,3453.1493186950684,1.7375443243987423,2856.890625
gemma-2-2b-it-q4_0.gguf,Acenda o abajur do quarto,LIGAR_LUZ,LIGAR_LUZ,1203.9334774017334,4.983664058373797,2856.890625
gemma-2-2b-it-q4_0.gguf,"Luz da garagem, por favor",LIGAR_LUZ,LIGAR_LUZ,1130.7265758514404,5.306322614273024,2856.890625
gemma-2-2b-it-q4_0.gguf,Preciso de luz para ler aqui na poltrona,LIGAR_LUZ,LIGAR_LUZ,1050.3690242767334,5.712278124472968,2856.890625
gemma-2-2b-it-q4_0.gguf,Vamos clarear um pouco as coisas,REVISAR_CONVERSACAO,LIGAR_LUZ,1815.4165744781494,5.508377603567132,2856.890625
gemma-2-2b-it-q4_0.gguf,"Estou chegando em casa, acenda a entrada",LIGAR_LUZ,LIGAR_LUZ,1360.7852458953857,4.409218881596595,2856.890625
gemma-2-2b-it-q4_0.gguf,Ligue a luz da sala de estar,LIGAR_LUZ,LIGAR_LUZ,1285.175085067749,4.668624586418671,2856.890625
gemma-2-2b-it-q4_0.gguf,Acenda a iluminação da cozinha,LIGAR_LUZ,LIGAR_LUZ,1131.420612335205,5.3030676077363035,2856.890625
gemma-2-2b-it-q4_0.gguf,Quero um pouco mais de claridade aqui,AJUSTAR_LUZ,LIGAR_LUZ,1513.9565467834473,4.623646573524321,2856.890625
gemma-2-2b-it-q4_0.gguf,Está muito escuro neste quarto,LIGAR_LUZ,LIGAR_LUZ,1277.0562171936035,4.698305304981254,2856.890625
gemma-2-2b-it-q4_0.gguf,"Luzes, por favor",LIGAR_LUZ,LIGAR_LUZ,1275.6319046020508,4.7035512190891575,2856.890625
gemma-2-2b-it-q4_0.gguf,Ativar modo leitura no escritório,MODO_LEITURA,LIGAR_LUZ,1290.8549308776855,5.422762723027691,2856.890625
gemma-2-2b-it-q4_0.gguf,Modo noturno ativado,MODO_NOTURNO,DESLIGAR_LUZ,1433.7942600250244,4.882150943942143,2856.890625
gemma-2-2b-it-q4_0.gguf,Apaga a luz do banheiro,DESLIGAR_LUZ,DESLIGAR_LUZ,1286.7140769958496,5.440214049995646,2856.890625
gemma-2-2b-it-q4_0.gguf,Zerar iluminação da casa,DESLIGAR_LUZ,DESLIGAR_LUZ,1431.2052726745605,4.890982540134702,2856.890625
gemma-2-2b-it-q4_0.gguf,"Estou de saída, pode apagar tudo",DESLIGAR_LUZ,DESLIGAR_LUZ,1365.1552200317383,5.127622044207733,2856.890625
gemma-2-2b-it-q4_0.gguf,Vamos economizar energia,AJUSTAR_TEMPERATURA,DESLIGAR_LUZ,1505.4430961608887,5.314050076287327,2856.890625
gemma-2-2b-it-q4_0.gguf,Chega de luz por hoje,DESLIGAR_LUZ,DESLIGAR_LUZ,1287.2700691223145,5.437864336248208,2856.890625
gemma-2-2b-it-q4_0.gguf,Apague todas as luzes,DESLIGAR_LUZ,DESLIGAR_LUZ,1278.1803607940674,5.476535405106101,2856.890625
gemma-2-2b-it-q4_0.gguf,Desligue a lâmpada do corredor,DESLIGAR_LUZ,DESLIGAR_LUZ,1358.4363460540771,5.152983443304705,2856.890625
gemma-2-2b-it-q4_0.gguf,Pode deixar tudo escuro para o filme?,DESLIGAR_LUZ,DESLIGAR_LUZ,1353.5022735595703,5.171768187422935,2856.890625
gemma-2-2b-it-q4_0.gguf,"Vou dormir, boa noite",DESLIGAR_LUZ,DESLIGAR_LUZ,1421.4556217193604,4.924529400033579,2856.890625
gemma-2-2b-it-q4_0.gguf,Cortar energia da iluminação,DESLIGAR_LUZ,DESLIGAR_LUZ,1428.5845756530762,4.899954905924948,2856.890625
gemma-2-2b-it-q4_0.gguf,Modo cinema,MODO_CINEMA,DESLIGAR_LUZ,1039.0982627868652,5.774237350669781,2856.890625
gemma-2-2b-it-q4_0.gguf,Ligue o ar condicionado,LIGAR_AR_CONDICIONADO,AJUSTAR_TEMPERATURA,1737.0431423187256,5.181218462994636,2856.890625
