model_name,prompt,generated_answer,expected_intention,latency_ms,tokens_per_second,peak_ram_mb
Meta-Llama-3-8B-Q4_0.gguf,"Ilumine a varanda, por favor",LIGAR_ILLUMINACAO,LIGAR_LUZ,18622.108221054077,0.5369961274682123,7528.640625
Meta-Llama-3-8B-Q4_0.gguf,Acenda o abajur do quarto,LIGAR_ILLUMINACAO,LIGAR_LUZ,5978.171348571777,1.6727523212242925,7528.640625
Meta-Llama-3-8B-Q4_0.gguf,"Luz da garagem, por favor",LIGAR_,LIGAR_LUZ,4385.37335395813,1.5962152900121884,7528.640625
Meta-Llama-3-8B-Q4_0.gguf,Preciso de luz para ler aqui na poltrona,LIGAR_,LIGAR_LUZ,3862.8711700439453,1.812123597153349,7528.640625
Meta-Llama-3-8B-Q4_0.gguf,Vamos clarear um pouco as coisas,LIGAR_,LIGAR_LUZ,3375.340223312378,2.073865014155692,7528.640625
Meta-Llama-3-8B-Q4_0.gguf,"Estou chegando em casa, acenda a entrada",LIGAR_PORTA,LIGAR_LUZ,3303.5852909088135,1.8162085951016584,7528.640625
Meta-Llama-3-8B-Q4_0.gguf,Ligue a luz da sala de estar,LIGAR_,LIGAR_LUZ,4370.228290557861,1.6017469877086095,7528.640625
Meta-Llama-3-8B-Q4_0.gguf,Acenda a iluminação da cozinha,LIGAR_ILLUMINACAO,LIGAR_LUZ,4637.367486953735,2.1563958491823025,7528.640625
Meta-Llama-3-8B-Q4_0.gguf,Quero um pouco mais de claridade aqui,LIGAR_,LIGAR_LUZ,4712.333917617798,1.4854634926929529,7528.640625
Meta-Llama-3-8B-Q4_0.gguf,Está muito escuro neste quarto,LIGAR_,LIGAR_LUZ,4400.8471965789795,1.5906028288011191,7528.640625
Meta-Llama-3-8B-Q4_0.gguf,"Luzes, por favor",LIGAR_,LIGAR_LUZ,3703.7742137908936,1.889964019387496,7528.640625
Meta-Llama-3-8B-Q4_0.gguf,Ativar modo leitura no escritório,ATIVAR_LEITURA,LIGAR_LUZ,4407.835960388184,1.5880808775341841,7528.640625
Meta-Llama-3-8B-Q4_0.gguf,Modo noturno ativado,LIGAR_,DESLIGAR_LUZ,4042.602062225342,1.7315580144306095,7528.640625
Meta-Llama-3-8B-Q4_0.gguf,Apaga a luz do banheiro,DESLIGAR_,DESLIGAR_LUZ,4455.161809921265,1.7956699085956167,7528.640625
Meta-Llama-3-8B-Q4_0.gguf,Zerar iluminação da casa,DESLIGAR_ILLUMINACAO,DESLIGAR_LUZ,5943.831920623779,1.6824163491740431,7528.640625
Meta-Llama-3-8B-Q4_0.gguf,"Estou de saída, pode apagar tudo",DESLIGAR_TUDO,DESLIGAR_LUZ,3341.7000770568848,2.0947421487822653,7528.640625
